candidate_id,rank,final_score,priority,parking_area_m2,distance_to_transit_m,transit_score,green_coverage_pct,green_score,building_coverage_pct,development_score,nearby_parking_area_m2,concentration_score
DAL-PARK-001,1,98.03612037933352,High Priority,18922.105590807787,53.84945062224662,93.45373459777844,3.5934216162802533,100,43.95278623071873,100,230290.48874688067,100
DAL-PARK-002,2,95.95752825098005,High Priority,6972.551393518763,1.1645725774750393,99.85842750326682,7.393160998215011,80,50.47585214907107,100,188299.41961684878,100
DAL-PARK-003,3,95.80137913372424,High Priority,5992.324206174425,5.446171149449001,99.33793044574746,7.498877042577943,80,51.75060535228093,100,171713.598051888,100
DAL-PARK-004,4,95.69098693770624,High Priority,5374.17930360199,35.89305246619024,95.63662312568748,3.757470910990062,100,38.44174957241758,80,212758.5249140282,100
DAL-PARK-005,5,95.55518225298447,High Priority,6150.943306286513,12.196873500669513,98.5172741766149,6.606147830409578,80,48.39958413651758,100,181775.56837819936,100
DAL-PARK-006,6,94.44854543349487,High Priority,3653.1660887192165,15.120848109495093,98.16181811164955,4.50418956224635,100,45.12053814668401,100,186555.46557341676,100
DAL-PARK-007,7,94.16615038105869,High Priority,12060.481752922187,77.70397101746269,90.55383460352894,4.300897523917754,100,37.81617620409051,80,225357.35691761208,100
DAL-PARK-008,8,93.93567203658097,High Priority,4799.978138369856,84.02367213347995,89.78557345526991,2.4244098439064854,100,33.98675284226327,80,219062.75821256862,100
DAL-PARK-009,9,93.69510598785676,High Priority,4400.518018248915,35.78010838073987,95.65035329285587,5.20784238912521,100,44.63691859937934,100,195682.8503310447,100
DAL-PARK-010,10,93.06865723971082,High Priority,11460.505681311763,107.79716109965831,86.89552413236939,3.6563417963937397,100,37.022410801789015,80,213888.44180651975,100
DAL-PARK-011,11,92.32572820497269,High Priority,5476.050268464794,18.488488474652325,97.75242734990898,7.381913845380534,80,36.31278820320183,80,184661.54550316068,100
DAL-PARK-012,12,92.15330978048267,High Priority,6780.13790632173,23.2161903858264,97.17769926827559,5.1801385252947085,100,35.87732370824315,80,126096.70701706677,60
DAL-PARK-013,13,91.94862244981908,High Priority,2645.229192864913,1.4087690622403972,99.82874149939694,4.433892082882729,100,38.82953190151176,80,176263.6697482817,100
DAL-PARK-014,14,91.34573679416296,High Priority,4555.478212267768,45.35978879840418,94.48578931387652,4.902360038966991,100,35.16708101129622,80,120228.82266290941,60
DAL-PARK-015,15,91.26219919381214,High Priority,5799.897814818176,20.230449801390545,97.5406639793738,4.423079822704033,100,31.742789041635227,60,146166.6265708726,80
DAL-PARK-016,16,90.74168869239891,High Priority,5320.00776189601,89.34268273074113,89.13896230799638,5.6587239230310695,80,47.77413606813526,100,164862.6437545604,80
DAL-PARK-017,17,89.65203863297313,High Priority,9620.809642199145,9.541077902628386,98.84012877657709,3.4232412012195996,100,31.04272956262776,60,122987.85817318286,60
DAL-PARK-018,18,89.54214100165295,High Priority,10734.288878187124,122.23420187585724,85.14047000550984,3.2690876911364803,100,31.922317121666833,60,192151.39108665162,100
DAL-PARK-019,19,89.07797022028784,High Priority,21885.365737704735,25.281996193840673,96.92656740095947,10.261552637521204,60,44.48507881518844,100,141339.65589591904,80
DAL-PARK-020,20,89.03369964189321,High Priority,9030.305293053305,26.495892554999095,96.77899880631068,6.930155450453651,80,40.03568103952007,100,116314.97590973199,40
DAL-PARK-021,21,88.95583576884587,High Priority,1862.3705620214291,28.630914856160064,96.51945256281961,4.339669722822512,100,40.80811966778566,100,177046.5283791252,100
DAL-PARK-022,22,88.1663324068227,High Priority,5012.087152531904,132.53884894167894,83.887774689409,4.964791814077025,100,34.84694183488529,80,140423.1047936391,60
